Batch Size,Throughput (rec/sec),Mean Spawn TPS,Mean Exec TPS,Avg Latency (ms),P99 Latency (ms)
1,63045.4,455950.6056742631,444112.2206636599,0.015861607416053768,0.027
2,29614.3,442069.88831929525,367604.080382705,0.06753104262308428,0.083
4,29335.7,390252.04788611794,333360.90197172755,0.1362891278665834,0.17300000000000001
8,29432.6,333404.3254285648,279377.6059785643,0.271148367747145,0.33
16,29922.3,587663.1215805209,382829.3816667184,0.5272384960949574,0.644
32,30094.1,589036.5203490106,250120.54440387466,1.032943093534653,1.266
